system,file,prediction_text,groundtruth,wer,cer,latency,memory
System 1 (Moonshine),data/tongue_twister/twister1.wav,"Sally sold sea shells by the seashore,",Sally sold seashells by the seashore.,0.5,0.054054054,0.513843536,165.6796875
System 2 (Whisper),data/tongue_twister/twister1.wav,Sally sold C shells by the C shore.,Sally sold seashells by the seashore.,0.666666667,0.162162162,0.50197196,51.03125
System 3 (Moonshine + Always LLM),data/tongue_twister/twister1.wav,Sally sold sea shells by the seashore.,Sally sold seashells by the seashore.,0.333333333,0.027027027,3.067655087,2888.894531
System 4 (Whisper + Always LLM),data/tongue_twister/twister1.wav,Sally sold crab shells by the beach.,Sally sold seashells by the seashore.,0.5,0.243243243,3.124673843,0
System 5 (Moonshine + Gate + LLM),data/tongue_twister/twister1.wav,"Sally sold sea shells by the seashore,",Sally sold seashells by the seashore.,0.5,0.054054054,0.147751331,0
System 6 (Whisper + Gate + LLM),data/tongue_twister/twister1.wav,Sally sold C shells by the C shore.,Sally sold seashells by the seashore.,0.666666667,0.162162162,0.493287563,0
System 1 (Moonshine),data/tongue_twister/twister2.wav,"Betty bought her, bought some butter, but she said the butter's bitter.","Betty Botter bought some butter, but she said the butter's bitter.",0.181818182,0.106060606,0.194941282,0.3125
System 2 (Whisper),data/tongue_twister/twister2.wav,"Betty Bauder bought some butter, but she sent the butter's bitter.","Betty Botter bought some butter, but she said the butter's bitter.",0.181818182,0.090909091,0.493577003,0.05078125
System 3 (Moonshine + Always LLM),data/tongue_twister/twister2.wav,"Betty bought some butter, but she said it was bitter.","Betty Botter bought some butter, but she said the butter's bitter.",0.272727273,0.257575758,3.301893711,1.296875
System 4 (Whisper + Always LLM),data/tongue_twister/twister2.wav,"Betty Bauder bought some butter, but she sent the butter as bitter.","Betty Botter bought some butter, but she said the butter's bitter.",0.363636364,0.121212121,4.06052351,0
System 5 (Moonshine + Gate + LLM),data/tongue_twister/twister2.wav,"Betty bought her, bought some butter, but she said the butter's bitter.","Betty Botter bought some butter, but she said the butter's bitter.",0.181818182,0.106060606,0.201816797,0.4375
System 6 (Whisper + Gate + LLM),data/tongue_twister/twister2.wav,"Betty Bauder bought some butter, but she sent the butter's bitter.","Betty Botter bought some butter, but she said the butter's bitter.",0.181818182,0.090909091,0.543227434,0
System 1 (Moonshine),data/tongue_twister/twister3.wav,How much wood would a wood-chuck chuck if a wood-chuck could chuck wood?,How much wood would a woodchuck chuck if a woodchuck could chuck wood?,0.153846154,0.028571429,0.231939077,0.6796875
System 2 (Whisper),data/tongue_twister/twister3.wav,How much wood would a wood chuck chuck if a wood chuck could chuck wood?,How much wood would a woodchuck chuck if a woodchuck could chuck wood?,0.307692308,0.028571429,0.485867262,0.25
System 3 (Moonshine + Always LLM),data/tongue_twister/twister3.wav,"""How much wood would a woodchuck chuck if a woodchuck could chuck wood? """,How much wood would a woodchuck chuck if a woodchuck could chuck wood?,0.153846154,0.042857143,4.021755219,5.3359375
System 4 (Whisper + Always LLM),data/tongue_twister/twister3.wav,"How much wood would a woodchuck chuck, if a woodchuck could chuck wood?",How much wood would a woodchuck chuck if a woodchuck could chuck wood?,0.076923077,0.014285714,4.340626955,0.00390625
System 5 (Moonshine + Gate + LLM),data/tongue_twister/twister3.wav,How much wood would a wood-chuck chuck if a wood-chuck could chuck wood?,How much wood would a woodchuck chuck if a woodchuck could chuck wood?,0.153846154,0.028571429,0.248136282,0
System 6 (Whisper + Gate + LLM),data/tongue_twister/twister3.wav,How much wood would a wood chuck chuck if a wood chuck could chuck wood?,How much wood would a woodchuck chuck if a woodchuck could chuck wood?,0.307692308,0.028571429,0.535023689,0
System 1 (Moonshine),data/tongue_twister/twister4.wav,"If two witches would watch two watches, which witch would watch witch watch.","If two witches would watch two watches, which witch would watch which watch?",0.153846154,0.039473684,0.22702384,0.87890625
System 2 (Whisper),data/tongue_twister/twister4.wav,"If two witches would watch two watches, which which would watch which watch.","If two witches would watch two watches, which witch would watch which watch?",0.153846154,0.039473684,0.479208469,1.15625
System 3 (Moonshine + Always LLM),data/tongue_twister/twister4.wav,"""If two witches were to watch two watches, which witch would be watching the other's watch?""","If two witches would watch two watches, which witch would watch which watch?",0.615384615,0.302631579,4.006354809,3.3359375
System 4 (Whisper + Always LLM),data/tongue_twister/twister4.wav,"""If two witches watched two watches, which one would watch which watch?""","If two witches would watch two watches, which witch would watch which watch?",0.384615385,0.197368421,3.901712179,0
System 5 (Moonshine + Gate + LLM),data/tongue_twister/twister4.wav,"If two witches would watch two watches, which witch would watch witch watch.","If two witches would watch two watches, which witch would watch which watch?",0.153846154,0.039473684,0.23490262,0.64453125
System 6 (Whisper + Gate + LLM),data/tongue_twister/twister4.wav,"If two witches would watch two watches, which which would watch which watch.","If two witches would watch two watches, which witch would watch which watch?",0.153846154,0.039473684,0.56448698,0
System 1 (Moonshine),data/conversation/conversation_1.wav,"Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID like your passport or driver's license? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.","Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID, like your passport or driver's licence? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.",0.024691358,0.004728132,1.137558222,21.7734375
System 2 (Whisper),data/conversation/conversation_1.wav,"Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife.  Yes, I'd like to open a savings account.  Of course. Do you have a valid photo ID like your passport or driver's license?  Yes, I have my passport right here.  Great. We also need proof of your address. Something like a utility bill or a rental agreement.  I have my lease agreement with me.","Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID, like your passport or driver's licence? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.",0.049382716,0.021276596,0.916567802,-20.46484375
System 3 (Moonshine + Always LLM),data/conversation/conversation_1.wav,"Good morning. How can I assist you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I would like to open a savings account. Of course. Do you have a valid photo ID such as your passport or driver’s license? Yes, I have my passport right here. Great. We also need proof of your address, such as a utility bill or a rental agreement. I have my lease agreement with me.","Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID, like your passport or driver's licence? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.",0.12345679,0.075650118,16.18120742,0.30078125
